source	target	value	LR_pair	model	tissue	strain	treatment	interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2
Neuronal	Neuronal	0.0230750762850829	Lamc1_Sv2c	Salt-sensitive	LV	SS	LS	Lamc1_Sv2c	LAMININ	Lamc1	Sv2c					KEGG: mmu04512	ECM-Receptor	Lamc1 - (Sv2c)
Pericyte	Neuronal	0.0186901382410483	Lamc1_Sv2c	Salt-sensitive	LV	SS	LS	Lamc1_Sv2c	LAMININ	Lamc1	Sv2c					KEGG: mmu04512	ECM-Receptor	Lamc1 - (Sv2c)
Neuronal	Neuronal	0.00451443361698882	Cadm3_Cadm3	Salt-sensitive	LV	SS	LS	Cadm3_Cadm3	CADM	Cadm3	Cadm3					KEGG: mmu04514	Cell-Cell Contact	Cadm3 - (Cadm3)
Immune cell	Immune cell	0.0852118623442172	Ptprc_Mrc1	Salt-sensitive	LV	SS	LS	Ptprc_Mrc1	CD45	Ptprc	Mrc1					PMID: 27601670; PMID: 10575006	Cell-Cell Contact	Ptprc - (Mrc1)
CM	CM	0.190750693413885	Cdh2_Cdh2	Salt-sensitive	LV	SS	LS	Cdh2_Cdh2	CDH	Cdh2	Cdh2					KEGG: mmu04514	Cell-Cell Contact	Cdh2 - (Cdh2)
Neuronal	CM	0.0646064957413073	Cdh2_Cdh2	Salt-sensitive	LV	SS	LS	Cdh2_Cdh2	CDH	Cdh2	Cdh2					KEGG: mmu04514	Cell-Cell Contact	Cdh2 - (Cdh2)
CM	Neuronal	0.0646064957413073	Cdh2_Cdh2	Salt-sensitive	LV	SS	LS	Cdh2_Cdh2	CDH	Cdh2	Cdh2					KEGG: mmu04514	Cell-Cell Contact	Cdh2 - (Cdh2)
Neuronal	Neuronal	0.0198370981971708	Cdh2_Cdh2	Salt-sensitive	LV	SS	LS	Cdh2_Cdh2	CDH	Cdh2	Cdh2					KEGG: mmu04514	Cell-Cell Contact	Cdh2 - (Cdh2)
EC	EC	0.0105735443958276	Cdh5_Cdh5	Salt-sensitive	LV	SS	LS	Cdh5_Cdh5	CDH5	Cdh5	Cdh5					KEGG: mmu04514	Cell-Cell Contact	Cdh5 - (Cdh5)
EC	Neuronal	0.0124514702063515	Efnb2_Ephb2	Salt-sensitive	LV	SS	LS	Efnb2_Ephb2	EPHB	Efnb2	Ephb2					PMID: 15114347	Cell-Cell Contact	Efnb2 - (Ephb2)
EC	EC	0.0177041585643325	Jam2_Jam2	Salt-sensitive	LV	SS	LS	Jam2_Jam2	JAM	Jam2	Jam2					KEGG: mmu04514	Cell-Cell Contact	Jam2 - (Jam2)
Neuronal	Fibroblast	0.0537234605020789	Ncam1_Fgfr1	Salt-sensitive	LV	SS	LS	Ncam1_Fgfr1	NCAM	Ncam1	Fgfr1					PMID: 12791257	Cell-Cell Contact	Ncam1 - (Fgfr1)
Neuronal	Neuronal	0.183745428984078	Ncam1_Ncam1	Salt-sensitive	LV	SS	LS	Ncam1_Ncam1	NCAM	Ncam1	Ncam1					KEGG: mmu04514	Cell-Cell Contact	Ncam1 - (Ncam1)
Neuronal	Neuronal	0.2728947469065	Ncam1_Ncam2	Salt-sensitive	LV	SS	LS	Ncam1_Ncam2	NCAM	Ncam1	Ncam2					KEGG: mmu04514	Cell-Cell Contact	Ncam1 - (Ncam2)
Immune cell	Immune cell	0.0263241281051749	Negr1_Negr1	Salt-sensitive	LV	SS	LS	Negr1_Negr1	NEGR	Negr1	Negr1					KEGG: mmu04514	Cell-Cell Contact	Negr1 - (Negr1)
Pericyte	Neuronal	0.125470571104965	Lrrc4c_Ntng1	Salt-sensitive	LV	SS	LS	Lrrc4c_Ntng1	NGL	Lrrc4c	Ntng1					KEGG: mmu04514	Cell-Cell Contact	Lrrc4c - (Ntng1)
Pericyte	Pericyte	0.188521092470985	Lrrc4c_Ntng1	Salt-sensitive	LV	SS	LS	Lrrc4c_Ntng1	NGL	Lrrc4c	Ntng1					KEGG: mmu04514	Cell-Cell Contact	Lrrc4c - (Ntng1)
EC	EC	0.190549804479252	Pecam1_Pecam1	Salt-sensitive	LV	SS	LS	Pecam1_Pecam1	PECAM1	Pecam1	Pecam1					KEGG: mmu04514	Cell-Cell Contact	Pecam1 - (Pecam1)
CM	CM	0.185213142506489	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
EC	CM	0.290807816278794	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Fibroblast	CM	0.163653058714404	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Neuronal	CM	0.0568988079894669	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
CM	EC	0.290807816278794	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
EC	EC	0.425188738002718	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Fibroblast	EC	0.26089162010041	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Neuronal	EC	0.098150658256084	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
CM	Fibroblast	0.163653058714404	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
EC	Fibroblast	0.26089162010041	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Fibroblast	Fibroblast	0.144158673138869	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Neuronal	Fibroblast	0.0493703384042452	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
CM	Neuronal	0.0568988079894669	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
EC	Neuronal	0.098150658256084	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Fibroblast	Neuronal	0.0493703384042452	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Neuronal	Neuronal	0.0157602414975236	Ptprm_Ptprm	Salt-sensitive	LV	SS	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
EC	EC	0.0259974762290785	Sema6a_Plxna2	Salt-sensitive	LV	SS	LS	Sema6a_Plxna2	SEMA6	Sema6a	Plxna2					PMID: 27533782	Cell-Cell Contact	Sema6a - (Plxna2)
Fibroblast	EC	0.0189360413485402	Sema6a_Plxna2	Salt-sensitive	LV	SS	LS	Sema6a_Plxna2	SEMA6	Sema6a	Plxna2					PMID: 27533782	Cell-Cell Contact	Sema6a - (Plxna2)
EC	CM	0.019202608845854	Sema6a_Plxna4	Salt-sensitive	LV	SS	LS	Sema6a_Plxna4	SEMA6	Sema6a	Plxna4					PMID: 27533782	Cell-Cell Contact	Sema6a - (Plxna4)
Fibroblast	CM	0.0139603427125042	Sema6a_Plxna4	Salt-sensitive	LV	SS	LS	Sema6a_Plxna4	SEMA6	Sema6a	Plxna4					PMID: 27533782	Cell-Cell Contact	Sema6a - (Plxna4)
EC	EC	0.0262003825196667	Sema6a_Plxna4	Salt-sensitive	LV	SS	LS	Sema6a_Plxna4	SEMA6	Sema6a	Plxna4					PMID: 27533782	Cell-Cell Contact	Sema6a - (Plxna4)
Fibroblast	EC	0.019084914139073	Sema6a_Plxna4	Salt-sensitive	LV	SS	LS	Sema6a_Plxna4	SEMA6	Sema6a	Plxna4					PMID: 27533782	Cell-Cell Contact	Sema6a - (Plxna4)
EC	Neuronal	0.0215717161617487	Sema6a_Plxna4	Salt-sensitive	LV	SS	LS	Sema6a_Plxna4	SEMA6	Sema6a	Plxna4					PMID: 27533782	Cell-Cell Contact	Sema6a - (Plxna4)
Fibroblast	Neuronal	0.0156930377705464	Sema6a_Plxna4	Salt-sensitive	LV	SS	LS	Sema6a_Plxna4	SEMA6	Sema6a	Plxna4					PMID: 27533782	Cell-Cell Contact	Sema6a - (Plxna4)
CM	Fibroblast	0.0277229676915683	Fgf1_Fgfr1	Salt-sensitive	LV	SD	LS	Fgf1_Fgfr1	FGF	Fgf1	Fgfr1				FGF inhibition receptor	PMC: 4393358	Secreted Signaling	Fgf1 - (Fgfr1)
CM	EC	0.0182383408540109	Angpt1_Tek	Salt-sensitive	LV	SD	LS	Angpt1_Tek	ANGPT	Angpt1	Tek				ANGPT inhibition receptor 1	PMID: 20651738	Secreted Signaling	Angpt1 - (Tek)
