seqnames	idx	name	FDR	MeanDiff	cell	species	control	treatment
131	deviations	131	Nfil3_131	0.0203531320678427	-0.0656109754202545	IC	C57BL/6	Saline 3d	AngII 3d
279	deviations	279	Spdef_279	0.0228764426825399	0.0293742776244328	IC	C57BL/6	Saline 3d	AngII 3d
470	deviations	470	Hnf1a_470	0.0262471729163622	0.04786984864326	IC	C57BL/6	Saline 3d	AngII 3d
799	deviations	799	Snai2_799	0.0262471729163622	-0.0179109577964407	IC	C57BL/6	Saline 3d	AngII 3d
275	deviations	275	Ehf_275	0.0273690750706029	0.0228456181633141	IC	C57BL/6	Saline 3d	AngII 3d
422	deviations	422	Lhx1_422	0.0275529065249883	0.0510289348934054	IC	C57BL/6	Saline 3d	AngII 3d
519	deviations	519	Prrx2_519	0.0303189945091075	0.0555618515811344	IC	C57BL/6	Saline 3d	AngII 3d
839	deviations	839	Prrxl1_839	0.0303189945091075	0.0555618515811344	IC	C57BL/6	Saline 3d	AngII 3d
242	deviations	242	Nfya_242	0.0321530672583432	0.0224463161770715	IC	C57BL/6	Saline 3d	AngII 3d
282	deviations	282	Etv6_282	0.0321530672583432	0.0221441878844876	IC	C57BL/6	Saline 3d	AngII 3d
332	deviations	332	Gm5294_332	0.0321530672583432	-0.02022073478834	IC	C57BL/6	Saline 3d	AngII 3d
355	deviations	355	Foxl1_355	0.0321530672583432	-0.02022073478834	IC	C57BL/6	Saline 3d	AngII 3d
577	deviations	577	Cphx_577	0.0321530672583432	0.0353231359987859	IC	C57BL/6	Saline 3d	AngII 3d
308	deviations	308	Foxf2_308	0.0332890872858692	-0.0389852164409895	IC	C57BL/6	Saline 3d	AngII 3d
312	deviations	312	Foxf1a_312	0.0332890872858692	-0.0389852164409895	IC	C57BL/6	Saline 3d	AngII 3d
666	deviations	666	Esr1_666	0.0350144845719606	-0.0268754020112084	IC	C57BL/6	Saline 3d	AngII 3d
499	deviations	499	Nkx61_499	0.0360667147206529	0.0402733357990399	IC	C57BL/6	Saline 3d	AngII 3d
606	deviations	606	NP_606	0.0360667147206529	0.0402733357990399	IC	C57BL/6	Saline 3d	AngII 3d
295	deviations	295	Gm4881_295	0.0368389615218705	0.0232206616905919	IC	C57BL/6	Saline 3d	AngII 3d
140	deviations	140	Zscan4_140	0.0372102714180129	-0.0342824546189752	IC	C57BL/6	Saline 3d	AngII 3d
134	deviations	134	Crem_134	0.043022932260143	-0.0329522593862081	IC	C57BL/6	Saline 3d	AngII 3d
459	deviations	459	Lhx3_459	0.043022932260143	0.0475347237966838	IC	C57BL/6	Saline 3d	AngII 3d
20	deviations	20	Tcfap4_20	0.0435730355989342	-0.0265703017193707	IC	C57BL/6	Saline 3d	AngII 3d
487	deviations	487	Pou2f3_487	0.0435730355989342	0.0496819355659347	IC	C57BL/6	Saline 3d	AngII 3d
192	deviations	192	Rreb1_192	0.0441046700227138	-0.0114596680422256	IC	C57BL/6	Saline 3d	AngII 3d
288	deviations	288	Erf_288	0.0441046700227138	0.0291234898660061	IC	C57BL/6	Saline 3d	AngII 3d
139	deviations	139	Zeb1_139	0.0461666066992419	-0.0193966147445453	IC	C57BL/6	Saline 3d	AngII 3d
314	deviations	314	Foxo1_314	0.0488453293142032	-0.0321655039352841	IC	C57BL/6	Saline 3d	AngII 3d
306	deviations	306	Foxa1_306	0.0527339616190604	-0.030599876684397	IC	C57BL/6	Saline 3d	AngII 3d
757	deviations	757	Stat1_757	0.0533545908750809	0.0234654081099149	IC	C57BL/6	Saline 3d	AngII 3d
667	deviations	667	Nr2e1_667	0.0541031965806278	0.0342080198795265	IC	C57BL/6	Saline 3d	AngII 3d
353	deviations	353	Gm5294_353	0.055348179983372	0.0205117463018208	IC	C57BL/6	Saline 3d	AngII 3d
379	deviations	379	Foxl1_379	0.055348179983372	0.0205117463018208	IC	C57BL/6	Saline 3d	AngII 3d
109	deviations	109	Creb1_109	0.0580588552856778	-0.0293763654405787	IC	C57BL/6	Saline 3d	AngII 3d
209	deviations	209	Zfp161_209	0.0580588552856778	-0.0170239325903937	IC	C57BL/6	Saline 3d	AngII 3d
317	deviations	317	Foxi1_317	0.0580588552856778	-0.0204078340335926	IC	C57BL/6	Saline 3d	AngII 3d
318	deviations	318	Foxi2_318	0.0580588552856778	-0.0204078340335926	IC	C57BL/6	Saline 3d	AngII 3d
323	deviations	323	Foxi3_323	0.0580588552856778	-0.0204078340335926	IC	C57BL/6	Saline 3d	AngII 3d
340	deviations	340	Gm5294_340	0.0580588552856778	-0.0204078340335926	IC	C57BL/6	Saline 3d	AngII 3d
362	deviations	362	Foxl1_362	0.0580588552856778	-0.0204078340335926	IC	C57BL/6	Saline 3d	AngII 3d
285	deviations	285	Elf1_285	0.0604860068073452	0.0150310818176022	IC	C57BL/6	Saline 3d	AngII 3d
494	deviations	494	Gbx2_494	0.0647380397751991	0.0369185020870724	IC	C57BL/6	Saline 3d	AngII 3d
556	deviations	556	Gsx1_556	0.0647380397751991	0.044375626915949	IC	C57BL/6	Saline 3d	AngII 3d
224	deviations	224	Zfp143_224	0.0677668766582477	0.0207010868196465	IC	C57BL/6	Saline 3d	AngII 3d
260	deviations	260	E2f7_260	0.0690485675666716	0.0258739240679485	IC	C57BL/6	Saline 3d	AngII 3d
426	deviations	426	Hnf1b_426	0.0690485675666716	0.0458208227546198	IC	C57BL/6	Saline 3d	AngII 3d
756	deviations	756	Stat5b_756	0.0690485675666716	0.0255590265799674	IC	C57BL/6	Saline 3d	AngII 3d
785	deviations	785	Twist1_785	0.0690485675666716	-0.0310722749031109	IC	C57BL/6	Saline 3d	AngII 3d
31	deviations	31	Tcf3_31	0.0697962462220389	-0.024696531757221	IC	C57BL/6	Saline 3d	AngII 3d
567	deviations	567	Nkx63_567	0.0702673729707597	0.039535654159101	IC	C57BL/6	Saline 3d	AngII 3d
237	deviations	237	Klf14_237	0.0736415773398515	0.00969963215874655	IC	C57BL/6	Saline 3d	AngII 3d
351	deviations	351	Gm5294_351	0.0736415773398515	-0.041626016463211	IC	C57BL/6	Saline 3d	AngII 3d
368	deviations	368	Foxl1_368	0.0736415773398515	-0.0286877691460632	IC	C57BL/6	Saline 3d	AngII 3d
377	deviations	377	Foxl1_377	0.0736415773398515	-0.041626016463211	IC	C57BL/6	Saline 3d	AngII 3d
683	deviations	683	Nr2e3_683	0.0736415773398515	0.0209673998333232	IC	C57BL/6	Saline 3d	AngII 3d
798	deviations	798	Klf11_798	0.0736415773398515	0.00969963215874655	IC	C57BL/6	Saline 3d	AngII 3d
817	deviations	817	Klf13_817	0.0736415773398515	0.00969963215874655	IC	C57BL/6	Saline 3d	AngII 3d
874	deviations	874	Klf16_874	0.0736415773398515	0.00969963215874655	IC	C57BL/6	Saline 3d	AngII 3d
152	deviations	152	Plagl1_152	0.0740288457297638	-0.0194707420394927	IC	C57BL/6	Saline 3d	AngII 3d
346	deviations	346	Gm5294_346	0.0747469231862891	-0.0369010961703883	IC	C57BL/6	Saline 3d	AngII 3d
372	deviations	372	Foxl1_372	0.0747469231862891	-0.0369010961703883	IC	C57BL/6	Saline 3d	AngII 3d
471	deviations	471	Lhx5_471	0.0759107475475153	0.0465178308102421	IC	C57BL/6	Saline 3d	AngII 3d
397	deviations	397	Sebox_397	0.0771707119043216	0.0426925914778111	IC	C57BL/6	Saline 3d	AngII 3d
513	deviations	513	Pbx3_513	0.0822083331881615	0.0188546513906905	IC	C57BL/6	Saline 3d	AngII 3d
333	deviations	333	Gm5294_333	0.083277326834427	-0.0244027018885838	IC	C57BL/6	Saline 3d	AngII 3d
356	deviations	356	Foxl1_356	0.083277326834427	-0.0244027018885838	IC	C57BL/6	Saline 3d	AngII 3d
669	deviations	669	Esrrb_669	0.0948476198046311	-0.0192731807398054	IC	C57BL/6	Saline 3d	AngII 3d
806	deviations	806	Klf15_806	0.0994216327192228	-0.00665581293850381	IC	C57BL/6	Saline 3d	AngII 3d
57	deviations	57	Mesp2_57	0.103280595118952	-0.0219298271091056	IC	C57BL/6	Saline 3d	AngII 3d
58	deviations	58	Mesp1_58	0.103280595118952	-0.0219298271091056	IC	C57BL/6	Saline 3d	AngII 3d
598	deviations	598	NP_598	0.103280595118952	0.0509206476107088	IC	C57BL/6	Saline 3d	AngII 3d
753	deviations	753	Stat6_753	0.103280595118952	0.0281344902941914	IC	C57BL/6	Saline 3d	AngII 3d
417	deviations	417	Nanog_417	0.104801105029506	0.0429751990698529	IC	C57BL/6	Saline 3d	AngII 3d
775	deviations	775	Spz1_775	0.108082070000906	-0.0175762447058657	IC	C57BL/6	Saline 3d	AngII 3d
59	deviations	59	Tcf12_59	0.112035161148042	-0.0195351591529232	IC	C57BL/6	Saline 3d	AngII 3d
252	deviations	252	Dmrt3_252	0.113942161478799	-0.0468697828326287	IC	C57BL/6	Saline 3d	AngII 3d
144	deviations	144	Plag1_144	0.114582345795217	-0.0118520100624689	IC	C57BL/6	Saline 3d	AngII 3d
296	deviations	296	Gm4881_296	0.114582345795217	0.0199785073831994	IC	C57BL/6	Saline 3d	AngII 3d
336	deviations	336	Gm5294_336	0.114582345795217	-0.023215440654837	IC	C57BL/6	Saline 3d	AngII 3d
360	deviations	360	Foxl1_360	0.114582345795217	-0.023215440654837	IC	C57BL/6	Saline 3d	AngII 3d
759	deviations	759	Stat4_759	0.114582345795217	0.0225889208691827	IC	C57BL/6	Saline 3d	AngII 3d
677	deviations	677	Nr4a2_677	0.120313633430349	0.0347331858235038	IC	C57BL/6	Saline 3d	AngII 3d
503	deviations	503	Hoxc9_503	0.120576363675251	0.0323860250353656	IC	C57BL/6	Saline 3d	AngII 3d
594	deviations	594	NP_594	0.120576363675251	0.0323860250353656	IC	C57BL/6	Saline 3d	AngII 3d
259	deviations	259	E2f2_259	0.125513770795514	0.0424080263666321	IC	C57BL/6	Saline 3d	AngII 3d
337	deviations	337	Gm5294_337	0.133518893850896	-0.0205885347730528	IC	C57BL/6	Saline 3d	AngII 3d
358	deviations	358	Foxl1_358	0.133518893850896	-0.0205885347730528	IC	C57BL/6	Saline 3d	AngII 3d
502	deviations	502	Gsx2_502	0.133518893850896	0.0495044519470232	IC	C57BL/6	Saline 3d	AngII 3d
504	deviations	504	Meox2_504	0.133518893850896	0.0355344123361881	IC	C57BL/6	Saline 3d	AngII 3d
573	deviations	573	Noto_573	0.136027069932005	0.0544013326664519	IC	C57BL/6	Saline 3d	AngII 3d
141	deviations	141	Bcl6b_141	0.148213886929725	0.0162008904951545	IC	C57BL/6	Saline 3d	AngII 3d
148	deviations	148	Glis2_148	0.148213886929725	-0.025386732061688	IC	C57BL/6	Saline 3d	AngII 3d
227	deviations	227	Zfp238_227	0.148213886929725	-0.0216193141718254	IC	C57BL/6	Saline 3d	AngII 3d
330	deviations	330	Foxd1_330	0.148213886929725	-0.0313477664286817	IC	C57BL/6	Saline 3d	AngII 3d
334	deviations	334	Gm5294_334	0.148213886929725	-0.0313477664286817	IC	C57BL/6	Saline 3d	AngII 3d
359	deviations	359	Foxl1_359	0.148213886929725	-0.0313477664286817	IC	C57BL/6	Saline 3d	AngII 3d
293	deviations	293	Gm4881_293	0.151187701414158	0.0118996525927613	IC	C57BL/6	Saline 3d	AngII 3d
431	deviations	431	Vsx2_431	0.151187701414158	0.04982800930314	IC	C57BL/6	Saline 3d	AngII 3d
424	deviations	424	Lhx9_424	0.155601260761768	0.0389254744412352	IC	C57BL/6	Saline 3d	AngII 3d
500	deviations	500	Arx_500	0.155601260761768	0.0389254744412352	IC	C57BL/6	Saline 3d	AngII 3d
447	deviations	447	Rax_447	0.156529280366436	0.0381651606264712	IC	C57BL/6	Saline 3d	AngII 3d
54	deviations	54	Figla_54	0.159850010087571	-0.0214326465463587	IC	C57BL/6	Saline 3d	AngII 3d
412	deviations	412	Rhox6_412	0.173206777621298	0.0464885650066374	IC	C57BL/6	Saline 3d	AngII 3d
572	deviations	572	Rhox9_572	0.173206777621298	0.0464885650066374	IC	C57BL/6	Saline 3d	AngII 3d
281	deviations	281	Elf5_281	0.176055794560901	0.0197675594591211	IC	C57BL/6	Saline 3d	AngII 3d
297	deviations	297	Gm4881_297	0.181439872015697	0.00996633533066344	IC	C57BL/6	Saline 3d	AngII 3d
755	deviations	755	Stat5a_755	0.185199514776571	0.019753803227799	IC	C57BL/6	Saline 3d	AngII 3d
498	deviations	498	Lbx2_498	0.1859662078038	0.0437306344291894	IC	C57BL/6	Saline 3d	AngII 3d
241	deviations	241	Myt1l_241	0.188816509244628	0.0269419013259561	IC	C57BL/6	Saline 3d	AngII 3d
310	deviations	310	Foxk2_310	0.188816509244628	-0.0267953280551583	IC	C57BL/6	Saline 3d	AngII 3d
319	deviations	319	Foxo3_319	0.188816509244628	-0.0267953280551583	IC	C57BL/6	Saline 3d	AngII 3d
324	deviations	324	Foxk1_324	0.188816509244628	-0.0267953280551583	IC	C57BL/6	Saline 3d	AngII 3d
415	deviations	415	Phox2a_415	0.188816509244628	0.044537980534231	IC	C57BL/6	Saline 3d	AngII 3d
418	deviations	418	Phox2b_418	0.188816509244628	0.044537980534231	IC	C57BL/6	Saline 3d	AngII 3d
643	deviations	643	Mybl2_643	0.188816509244628	0.047115151003103	IC	C57BL/6	Saline 3d	AngII 3d
840	deviations	840	Pou4f2_840	0.188816509244628	-0.0139605447773302	IC	C57BL/6	Saline 3d	AngII 3d
841	deviations	841	Pou4f1_841	0.188816509244628	-0.0139605447773302	IC	C57BL/6	Saline 3d	AngII 3d
736	deviations	736	Sox30_736	0.192890001986643	-0.0242200651783364	IC	C57BL/6	Saline 3d	AngII 3d
270	deviations	270	Etv2_270	0.197369309033782	0.0240459714561725	IC	C57BL/6	Saline 3d	AngII 3d
87	deviations	87	Bhlha15_87	0.203058900867602	-0.0364963604046054	IC	C57BL/6	Saline 3d	AngII 3d
88	deviations	88	Tcf4_88	0.203058900867602	-0.0171616651344914	IC	C57BL/6	Saline 3d	AngII 3d
211	deviations	211	Hic2_211	0.203058900867602	-0.0200077474220033	IC	C57BL/6	Saline 3d	AngII 3d
443	deviations	443	Dlx2_443	0.203058900867602	0.0356219997956915	IC	C57BL/6	Saline 3d	AngII 3d
199	deviations	199	Zfp784_199	0.205030870688969	-0.0254315074941539	IC	C57BL/6	Saline 3d	AngII 3d
630	deviations	630	Irf3_630	0.205030870688969	0.0223466853003396	IC	C57BL/6	Saline 3d	AngII 3d
381	deviations	381	Foxl1_381	0.207838030262933	-0.0121237799511515	IC	C57BL/6	Saline 3d	AngII 3d
8	deviations	8	Arid5b_8	0.208242790677895	0.0772369502024045	IC	C57BL/6	Saline 3d	AngII 3d
3	deviations	3	Tcfap2c_3	0.21095929816119	-0.00934914263407912	IC	C57BL/6	Saline 3d	AngII 3d
689	deviations	689	Nr6a1_689	0.21095929816119	-0.0215398056222381	IC	C57BL/6	Saline 3d	AngII 3d
808	deviations	808	Zbtb7a_808	0.21095929816119	0.0251615452165898	IC	C57BL/6	Saline 3d	AngII 3d
812	deviations	812	Zbtb7c_812	0.21095929816119	0.0251615452165898	IC	C57BL/6	Saline 3d	AngII 3d
138	deviations	138	Nfil3_138	0.212265749838259	-0.0242976345414984	IC	C57BL/6	Saline 3d	AngII 3d
469	deviations	469	Uncx_469	0.231610358113899	0.0373196639783283	IC	C57BL/6	Saline 3d	AngII 3d
654	deviations	654	Rarg_654	0.234531407045896	-0.0155843946947577	IC	C57BL/6	Saline 3d	AngII 3d
180	deviations	180	Zfp300_180	0.238252969954024	-0.0302626251039247	IC	C57BL/6	Saline 3d	AngII 3d
162	deviations	162	Bcl6_162	0.241049985024027	0.014699979270953	IC	C57BL/6	Saline 3d	AngII 3d
258	deviations	258	E2f3_258	0.24133817753295	0.033277715864014	IC	C57BL/6	Saline 3d	AngII 3d
559	deviations	559	Bsx_559	0.246136054968657	0.0209929776365623	IC	C57BL/6	Saline 3d	AngII 3d
545	deviations	545	Nkx12_545	0.248416095763755	0.0316337931254794	IC	C57BL/6	Saline 3d	AngII 3d
674	deviations	674	Esrra_674	0.250515377619036	-0.0147240965770067	IC	C57BL/6	Saline 3d	AngII 3d
816	deviations	816	Zfp219_816	0.258521755561548	-0.0061165182872877	IC	C57BL/6	Saline 3d	AngII 3d
185	deviations	185	Glis1_185	0.259249741779512	-0.0181531674746	IC	C57BL/6	Saline 3d	AngII 3d
348	deviations	348	Gm5294_348	0.262376136629909	-0.0185338580374518	IC	C57BL/6	Saline 3d	AngII 3d
375	deviations	375	Foxl1_375	0.262376136629909	-0.0185338580374518	IC	C57BL/6	Saline 3d	AngII 3d
6	deviations	6	Arid3b_6	0.265497790404347	0.0330878067868188	IC	C57BL/6	Saline 3d	AngII 3d
221	deviations	221	Scrt2_221	0.265497790404347	-0.0119252155027515	IC	C57BL/6	Saline 3d	AngII 3d
389	deviations	389	Tcfcp2_389	0.265497790404347	-0.0465221862873422	IC	C57BL/6	Saline 3d	AngII 3d
478	deviations	478	Dlx5_478	0.265497790404347	0.0302629048972033	IC	C57BL/6	Saline 3d	AngII 3d
540	deviations	540	Pou3f3_540	0.265497790404347	-0.0191598276441982	IC	C57BL/6	Saline 3d	AngII 3d
541	deviations	541	Dbx2_541	0.265497790404347	0.0302629048972033	IC	C57BL/6	Saline 3d	AngII 3d
266	deviations	266	Elf3_266	0.267951146351359	0.0162241180517014	IC	C57BL/6	Saline 3d	AngII 3d
537	deviations	537	Nkx23_537	0.276246859527148	0.0228072529637882	IC	C57BL/6	Saline 3d	AngII 3d
623	deviations	623	Pit1_623	0.276246859527148	-0.0188942756991543	IC	C57BL/6	Saline 3d	AngII 3d
655	deviations	655	Nr1h3_655	0.276246859527148	0.0224379886681109	IC	C57BL/6	Saline 3d	AngII 3d
688	deviations	688	Nr1h2_688	0.276246859527148	0.0224379886681109	IC	C57BL/6	Saline 3d	AngII 3d
171	deviations	171	Klf7_171	0.27749801438793	0.00648499984947506	IC	C57BL/6	Saline 3d	AngII 3d
257	deviations	257	E2f4_257	0.284807817182196	0.012473455112176	IC	C57BL/6	Saline 3d	AngII 3d
582	deviations	582	Hoxb2_582	0.284807817182196	0.0259027537434767	IC	C57BL/6	Saline 3d	AngII 3d
484	deviations	484	Irx5_484	0.290738549521072	-0.0205687423625551	IC	C57BL/6	Saline 3d	AngII 3d
245	deviations	245	Onecut3_245	0.293613519578255	-0.0244516971863813	IC	C57BL/6	Saline 3d	AngII 3d
800	deviations	800	Zfp148_800	0.298322820048769	-0.00431989902708534	IC	C57BL/6	Saline 3d	AngII 3d
22	deviations	22	Id3_22	0.301642116779914	-0.0164049312144965	IC	C57BL/6	Saline 3d	AngII 3d
35	deviations	35	Id4_35	0.301642116779914	-0.0164049312144965	IC	C57BL/6	Saline 3d	AngII 3d
