"pathway"	"pval"	"padj"	"log2err"	"ES"	"NES"	"size"	"leadingEdge"	"group_id"	".before"	"project"	"strain"	"tissue"	"cell_type"	"control"	"treatment"
"HALLMARK_ADIPOGENESIS"	0.000606248580968433	0.0303124290484217	0.477270815362862	0.445758514309337	1.52733636983289	143	"Gphn;Lifr;Abca1;Pgm1;Sparcl1;Gpam;Atl2;Slc27a1;Mgll;Aco2;Me1;Sorbs1;Itsn1;Rreb1;Agpat3;Miga2;Bcl2l13;Angpt1;Itih5;Lpcat3;Cs;Rab34;Nkiras1;Gpd2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_NOTCH_SIGNALING"	0.00369983112249303	0.0862601354216222	0.431707695803346	0.720306174214117	1.76320675392016	22	"Notch2;Notch1;Lfng;Heyl;Tcf7l2;Arrb1;Prkca;Maml2;Notch3;Ppard"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_INFLAMMATORY_RESPONSE"	0.00517560812529733	0.0862601354216222	0.407017918923954	0.54462427835253	1.69875574304624	64	"Slc1a2;Slc4a4;Abca1;F3;Kif1b;Hrh1;Pcdh7;Nfkb1;Atp2a2;Il18;Irak2;Gabbr1;Slc7a2;Ldlr;Abi1;Il15ra;Eif2ak2;Sema4d"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_COAGULATION"	0.0124651376250594	0.145430831410653	0.380730400722792	0.521817256917862	1.55359518555685	52	"Cpq;Rapgef3;F3;Capn2;Htra1;Clu;Timp3;Fyn;Lrp1;Gng12;Klf7;Lamp2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	0.0145430831410653	0.145430831410653	0.380730400722792	0.460540766493759	1.49747989028003	82	"Abca1;Vegfa;F3;Plpp3;Klf9;Smad3;Spsb1;Sat1;Sdc4;Nfkb1;Il18;Tnfaip8;Tiparp;Nfe2l2;Pmepa1;Ldlr;Trib1;Slc16a6"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	0.0262953186405806	0.194600112698789	0.352487857583619	0.520059781876819	1.5404647201555	48	"Scd2;Fads2;Actg1;Clu;Chka;Acss2;Ldlr;Cbs;Cyp51;Trp53inp1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_SPERMATOGENESIS"	0.0272440157778305	0.194600112698789	0.352487857583619	-0.619264113656158	-1.52665828533087	52	"Map7;Dcc;Scg5;Slc12a2;Grm8;Pebp1;Clvs1;Camk4;Snap91;Gad1;Pcsk1n;Gmcl1;Jam3;Mllt10;Chfr"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_IL2_STAT5_SIGNALING"	0.0315623520119441	0.197264700074651	0.321775918075361	0.435920184246884	1.41988781194367	84	"Lrig1;Rora;Prnp;Ptch1;Ccnd3;Syt11;Spred2;Itga6;St3gal4;Itgav;Cd81;Huwe1;Hipk2;Cyfip1;Itih5;Snx14"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_BILE_ACID_METABOLISM"	0.0415576774476849	0.230752123998923	0.321775918075361	0.461750422834995	1.39987556836253	57	"Abca1;Fads2;Nr3c2;Pfkm;Cyp7b1;Pipox;Idh2;Nedd4;Pex1;Bcar3;Pex13;Idh1;Fads1;Rxra;Abcd3;Pnpla8;Abcd2;Lonp2;Bbox1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_MTORC1_SIGNALING"	0.0461504247997847	0.230752123998923	0.321775918075361	0.373285651094251	1.27188741434547	135	"Scd2;Acsl3;Pgm1;Acaca;Fads2;Atp2a2;Me1;Plod2;Hspa4;Gsk3b;Ldlr;Elovl5;Cyp51;Gsr;Idh1;Fads1;Add3;Sec11a;P4ha1;Tomm40;Ak4;Immt;Rpa1;Gmps;Slc9a3r1;Skap2;Sqle;Slc2a1;Psma3;Nfyc;Pdk1;Polr3g"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_APICAL_SURFACE"	0.0608552631578947	0.276614832535885	0.234392647294686	-0.693082641717568	-1.42530513108981	18	"App;Efna5;Ntng1;Crocc;Mal"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_KRAS_SIGNALING_UP"	0.120987654320988	0.504115226337449	0.13880510939114	-0.494435438809871	-1.27952479291871	88	"Hdac9;Map7;Kif5c;Ephb2;Scg5;Nin;Epb41l3;Akap12;Apod;Ptprr;Snap25;Scn1b;Snap91;Pcsk1n"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	0.151832460732984	0.58397100281917	0.266350657088526	0.365835410231729	1.18622680758537	87	"Ntm;Cadm1;Vegfa;Notch2;Htra1;Sat1;Sdc4;Col16a1;Itgav;Lama2;Gja1;Timp3;Lrp1;Fstl1;Cap2;Plod2;Fermt2;Cdh2;Pmepa1;Dab2;Fgf2;Fbln5"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_ANDROGEN_RESPONSE"	0.173913043478261	0.62111801242236	0.224966093540314	0.363912774030689	1.16056636560764	74	"Scd2;Mertk;Lifr;Acsl3;Ccnd3;Ank;Sat1;Itgav;Zmiz1;Tnfaip8;Bmpr1b;Pmepa1;Elovl5;Gsr"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_HYPOXIA"	0.192546583850932	0.641821946169772	0.257206466468838	0.338780306891943	1.11796272379786	106	"Rora;Pgm1;Vegfa;Pfkp;F3;Bcan;Dtna;Kdm3a;Ext1;Sdc4;Foxo3;Phkg1;Tiparp;Egfr;Klf7;Ampd3;Mxi1;Xpnpep1;Prkca;Gys1;P4ha1;Lxn;Bnip3l;Ak4;Hexa;Sdc3;Myh9;Slc2a1;Hk1;Pdk1;Klhl24;Zfp292;Sdc2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_PANCREAS_BETA_CELLS"	0.218588640275387	0.642907765515845	0.119887845115423	-0.651953996637497	-1.27122951578488	13	"Pcsk2;Pak3;Stxbp1;Chga;Syt13;Gck"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_GLYCOLYSIS"	0.213333333333333	0.642907765515845	0.252961123069611	0.334445727250866	1.11462492257032	113	"Mertk;Vegfa;Pfkp;Ext1;Me1;Egfr;Plod2;Mxi1;Chpf2;Chst1;Agl;Pygb;Gys1;Ext2;Idh1;Fut8;P4ha1;Paxip1;Ak4;Sdc3;Hs2st1;Chst12;Sdhc;Aldh7a1;Got2;Zfp292;Sdc2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_APICAL_JUNCTION"	0.254739336492891	0.701204421712589	0.0873098257637931	-0.433008007657012	-1.14287049078962	108	"Nfasc;Cdh4;Atp1a3;Tro;Ppp2r2c;Myh10;Pkd1;Evl;Gnai1;Hras;Cdh8;Adam23;Actn1;Arpc2;Map4k2;Cadm3;Cldn11;Fbn1;Itga3;Itga9;Ywhah;Jam3;Adam15;Cdh6;Speg;Nf1;Baiap2;Dlg1;Pik3cb;Tjp1;Plcg1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_TGF_BETA_SIGNALING"	0.266457680250784	0.701204421712589	0.150169802128406	0.399347972232695	1.11567226272302	37	"Smad3;Apc;Wwtr1;Hipk2;Pmepa1;Rab31;Bcar3"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	0.299552906110283	0.748882265275708	0.0911073131586733	-0.494673720031707	-1.13832983866007	32	"Mbp"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	0.330357142857143	0.78656462585034	0.234392647294686	0.301044242685188	1.05648462076968	155	"Glud1;Atp6v0b;Acat1;Tomm70a;Ndufs1;Aco2;Idh2;Slc25a12;Mfn2;Cpt1a;Oxa1l;Pdhb;Cs;Afg3l2;Idh1;Atp5a1;Rhot1;Supv3l1;Atp5g2;Immt;Atp6v0e;Slc25a3;Idh3b;Sdha;Pmpca;Sdhc;Opa1;Uqcrc2;Cox7c;Got2;Cox8a;Cox10;Maob;Aldh6a1;Slc25a20;Bdh2;Oat;Atp6v1e1;Mpc1;Polr2f;Atp5c1;Casp7;Atp5h;Dlat;Atp5b;Echs1;Dld;Ndufs4;Dlst;Fh1;Cox11;Pdhx"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_UV_RESPONSE_DN"	0.379107981220657	0.859060402684564	0.066132620475844	-0.39984428706962	-1.05865145067599	112	"Map1b;Cacna1a;Sipa1l1;Inpp4b;Mmp16;Adgrl2;Schip1;Ica1;Amph;Grk5;Tgfbr3;Slc7a1;Col11a1;Atp2b1;Synj2;Kit;Kcnma1;Nr3c1;Vldlr;Celf2;Magi2;Scn8a;Bmpr1a;Prdm2;Map2k5;Dlg1;Tjp1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_COMPLEMENT"	0.396111786148238	0.859060402684564	0.0656813601934011	-0.404591924889777	-1.05496171923058	92	"Spock2;Cdh13;Dgkh;Dock10;Dgkg;Calm1;Hpcal4;Gng2;Pclo;Kcnip2;Timp2;Gnb4;Gnb2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_UV_RESPONSE_UP"	0.416770963704631	0.859060402684564	0.0646484568421928	-0.40390752013668	-1.03632682709169	83	"Ptprd;Gls;Tfrc;Aldoa;Cltb;Bsg;Olfm1;Mapk8ip2;Eno2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_MYOGENESIS"	0.464373464373464	0.859060402684564	0.0585937568945671	-0.38601520350202	-1.00388377668095	90	"Bin1;App;Cdh13;Camk2b;Pde4dip;Schip1;Sptan1;Reep1;Adam12;Apod;Acsl1;Ppfia4;Fhl1;Pkia"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_ANGIOGENESIS"	0.507537688442211	0.859060402684564	0.0692836467392548	-0.493205834829068	-0.987443718538768	15	"App;Jag2;Tnfrsf21;Pdgfa"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_ESTROGEN_RESPONSE_LATE"	0.490196078431373	0.859060402684564	0.137250779610133	0.302927824007789	0.986702476166312	84	"Fgfr3;Farp1;Cacna2d2;Cpe;Dlg5;Dnajc1;Rabep1;Idh2;Aff1;Papss2;Elovl5;Rab31;Arl3;Cyp4f15;Hr;Chpt1;Add3;Tpd52l1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_PROTEIN_SECRETION"	0.474654377880184	0.859060402684564	0.135002033828631	0.302788789150576	0.976405751588589	78	"Abca1;Kif1b;Ocrl;Sgms1;Egfr;Scamp1;Arfgef1;Mapk1;Napg;Lamp2;Mon2;Ap3b1;Cltc;Vps4b;Vps45;Stx16;Gbf1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_ALLOGRAFT_REJECTION"	0.515436241610738	0.859060402684564	0.0578529757032509	-0.394042519349501	-0.971424411122235	52	"Prkcb;Hdac9;Prkcg;Flna;Apbb1;St8sia4;Ube2d1;Tpd52;Npm1;Galnt1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_PEROXISOME"	0.504132231404959	0.859060402684564	0.122679189568808	0.306093452906803	0.964121458800054	67	"Cadm1;Idh2;Elovl5;Pex13;Idh1;Fads1;Abcd3;Eci2;Vps4b;Abcd2;Smarcc1;Abcb9;Dlg4;Pex5;Lonp2;Abcb4"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_KRAS_SIGNALING_DN"	0.551816958277254	0.86221399730821	0.0547939500773363	-0.382359470415694	-0.945383679776653	55	"Tenm2;Ryr2;Dcc;Epha5;Arpp21;Sptbn2;Sgk1;Mast3;Kcnq2;Nr6a1;Clstn3;Mfsd6;Oxt"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	0.54140127388535	0.86221399730821	0.100990587455923	0.320796002279002	0.935694266013607	43	"Cd47;Irf2;Eif2ak2;Elf1;Herc6;Psma3;Gmpr;Il15;Txnip;Lpar6;Rnf31;Parp9;Stat2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_FATTY_ACID_METABOLISM"	0.58641975308642	0.877034358047016	0.141225119642531	0.284639041653966	0.934700078149954	103	"Acss1;Glul;Mgll;Ppara;Aco2;Me1;Bmpr1b;Bckdhb;Cpt1a;Fmo1;Elovl5;Pdhb;Gpd2;Idh1;Auh;Eci2;Suclg2;Hibch;Idh3b;Sdha;Acadl;Sdhc;Ephx1;Gstz1;Cbr1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_G2M_CHECKPOINT"	0.613924050632911	0.877034358047016	0.139599673451922	0.282396211444662	0.932640154830932	108	"Ewsr1;Smad3;Notch2;Meis1;Odf2;Stag1;Srsf2;E2f3;Foxn3;Srsf1;Prim2;Xpo1;Kpnb1;Dtymk;Hnrnpu;Smarcc1;Ezh2;Cdc27;Amd1;Sqle;Tmpo;Cul3;Bub3;Cul4a;Hira;Syncrip;Dkc1;Cul1;Ccnt1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	0.607142857142857	0.877034358047016	0.135740943810425	0.284363592625864	0.929803923033717	95	"Lrig1;Farp1;Nav2;Sybu;Retreg1;Tmem164;Wwc1;Abat;Gja1;Tiparp;Aff1;Slc7a2;Papss2;Elovl5;Rab31;Adcy9;Med13l;Arl3;Hr;Chpt1;Add3;Tpd52l1;Elf1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	0.691588785046729	0.948503708756075	0.109684061970549	0.280211106271267	0.898814337259455	79	"Vegfa;Tspyl2;Sec11a;Fus;Cnot4;Eif4a1;Eef2;Eif4a2;Eif4a3;Dnajc3;Wipi1;Sec31a;Mtrex;Dkc1;Eif4e;Exosc5;Ern1;Slc30a5;Herpud1;Wfs1;Slc1a4;Srpr;Rrp9;Hsp90b1;Iars;Dcp2;Hspa5;Ddit4;Ttc37;Shc1;Eif2ak3;Cnot6;Pdia6"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_HEDGEHOG_SIGNALING"	0.701892744479495	0.948503708756075	0.051011413203915	-0.384107349276378	-0.839692385636988	25	"Unc5c;Rtn1;Slit1;Nrp2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_MITOTIC_SPINDLE"	0.748022598870057	0.982836787564767	0.0326513265618535	-0.31667957755042	-0.849438696332772	145	"Ssh2;Bin1;Sorbs2;Epb41;Sptan1;Tiam1;Nin;Myh10;Rapgef5;Rapgef6;Flna;Arhgdia;Flnb;Arhgap29;Anln;Dst;Arhgap5;Sptbn1;Fgd4;Wasf1;Dynll2;Nf1;Cdc42;Nck2;Dlg1;Clip2;Arhgef3;Pkd2;Rock1;Pdlim5;Wasf2;Capzb"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_APOPTOSIS"	0.779507133592737	0.982836787564767	0.0372254009247509	-0.315735474356737	-0.801281446797491	73	"App;Sptan1;Pak1;Madd;Tgfbr3;Timp2;Eno2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	0.786269430051813	0.982836787564767	0.0367619553883609	-0.314497797060919	-0.79821628713681	75	"Prkcb;Tiam1;Hras;Dusp3;Camk4;Cfl1;Arhgdia;Ppp1ca"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_DNA_REPAIR"	0.918781725888325	1	0.0972150808846466	0.240856292409816	0.782143928171143	85	"Rev3l;Pom121;Gsdme;Cstf3;Supt5;Dctn4;Nfx1;Rfc2;Npr2;Nudt9;Rad52;Ercc4;Trp53;Ak3;Gtf2f1;Nelfcd;Dguok;Polr3c;Srsf6;Sdcbp;Polr2f;Polr3gl;Mpc2;Supt4a;Gtf2a2;Tarbp2;Eloa;Gtf2h1;Rala;Rrm2b;Ercc8"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_P53_PATHWAY"	0.841232227488152	1	0.0292103127923884	-0.294457277468059	-0.776942603913683	110	"App;Cdh13;Cyfip2;Tsc22d1;Jag2;Hras;Fgf13;Ptpre;Ndrg1;Zfp365;Pdgfa"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_XENOBIOTIC_METABOLISM"	0.868421052631579	1	0.0280810636309052	-0.288132779147267	-0.754277981629178	97	"Ptgds;Cyfip2;Slc6a6;Apoe;Gad1;Pgrmc1;Gabarapl1;Tpst1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	0.864406779661017	1	0.0687943095604775	0.281619232217504	0.731576168779815	28	"Cntfr;Stam2;Cd38;Il15ra;Pdgfc;Il10rb;Csf2ra;Stat1;Stat2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	0.970731707317073	1	0.0916795246008379	0.221927676517183	0.721613061990589	82	"Pfkp;Auts2;Nfkb1;Irf2;Cd38;Il15ra;Eif2ak2;Herc6;Psma3;Nup93;Il15;Nod1;Txnip;Cfb;Rnf31;Stat1;Sod2;Casp7;Stat2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_HEME_METABOLISM"	0.95292766934558	1	0.0207088406492443	-0.25900757697584	-0.689301769353832	129	"Ank1;Epb41;Add2;Atp6v0a1;Picalm;Tfrc;Dmtn;Sptb;Bsg;Nudt4;Agpat4;Endod1;Mkrn1;Synj1;Arl2bp;Osbp2;Nr3c1;Tns1;Slc7a11"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_MYC_TARGETS_V2"	0.912280701754386	1	0.0678338263479455	0.26493230771605	0.688419444129989	29	"Supv3l1;Utp20;Rabepk;Farsa;Exosc5;Ndufaf4;Nip7;Rrp9;Wdr43"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_MYC_TARGETS_V1"	1	1	0.120985142145252	0.197528369735241	0.673033765712567	135	"Ywhae;Hnrnpa3;Tomm70a;Srsf2;Hnrnpa2b1;Srsf1;Xpo1;Kpnb1;Hnrnpu;Ssbp1;Smarcc1;Psmd1;Slc25a3;Eif4a1;Hddc2;Got2;Serbp1;Psma1;Prps2;Bub3;Snrpa;Eif2s2;Syncrip;Exosc7;Cul1;Ube2e1;Eif4e;Dhx15;Eif3b;Sf3a1;Psmb3;Ssb;Eif1ax;Abce1;Ilf2;Rad23b;Eif4g2;Pabpc4;Mrpl9;Rrp9;Psmd7;Srsf7;Xrcc6;Pwp1;Snrpa1;Iars;Sf3b3;Tra2b;Vdac3"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	0.953703703703704	1	0.0359208664409425	-0.258968792105309	-0.581074455329181	28	"Jag2;Gnai1;Hdac11;Csnk1e;Ncor2;Axin2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_E2F_TARGETS"	1	1	0.096887770327544	0.170227213428139	0.553831450346932	91	"Cit;Stag1;Srsf2;Srsf1;Prim2;Xpo1;Prkdc;Ezh2;Rpa1;Rfc2;Tmpo;Trp53;Diaph3;Slbp;Ak2;Syncrip;Nup153"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_NOTCH_SIGNALING"	0.00204536680340695	0.0310643518033136	0.431707695803346	0.793266415108143	1.86433376405078	21	"Notch1;Maml2;Heyl;Tcf7l2;Dtx1;Arrb1;Jag1;Cul1;Notch2;Fbxw11;Lfng;Dtx4;Notch3"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 3d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 3d"
"HALLMARK_INFLAMMATORY_RESPONSE"	0.00196310496449682	0.0310643518033136	0.431707695803346	0.614400113310511	1.83167037108261	63	"Slc1a2;Pcdh7;Slc4a4;Abca1;Gabbr1;Kif1b;Nfkb1;Itgb8;Il18;Slc7a2;Sema4d;Hrh1;Aqp9;Atp2a2;Atp2c1;F3;Axl;Abi1;Pdpn;P2rx7;Mmp14;Psen1;Il15ra"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 3d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 3d"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	0.000750978643330639	0.0310643518033136	0.477270815362862	0.566280624801901	1.73667066684015	78	"Sat1;Abca1;Smad3;Plpp3;Tnfaip8;Nfkb1;Il18;Pdlim5;Jag1;Bcl6;Vegfa;Sod2;Tiparp;Cflar;F3;Sdc4;Nfe2l2;Fjx1;Dnajb4;Rcan1;Il15ra"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 3d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 3d"
