source	target	LR_pair	model	tissue	interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2	value.SD-LS	value.SS-LS	value.SD-HS 3d	value.C57BL/6-Saline 3d	value.SS-HS 21d	value.C57BL/6-AngII 3d	value.SHR-10w	value.WKY-10w	value.C57BL/6-AngII 28d	value.SHR-26w	value.WKY-26w	value.SS-HS 3d	sxt	value	strain	treatment
EC15	EC4	JAM3_JAM2	Salt-sensitive	LK	JAM3_JAM2	JAM	Jam3	Jam2					KEGG: mmu04514	Cell-Cell Contact	Jam3  - Jam2	0	0.0254365654254109	0.0237338011586974	0	0.0260691942568062	0	0	0	0	0	0	0	SS-HS 3d	-0.0254365654254109	SS	HS 3d
EC2	EC10	COL4A2_ITGA1_ITGB1	Salt-sensitive	LV	COL4A2_ITGA1_ITGB1	COLLAGEN	Col4a2	ITGA1_ITGB1					KEGG: mmu04512	ECM-Receptor	Col4a2  - (Itga1+Itgb1)	0.0304394822494052	0.0499846007317863	0.0240064590865575	0	0.0245457458457567	0	0	0	0	0	0	0.020150208455135	SS-HS 21d	-0.0254388548860296	SS	HS 21d
Myelinating OL	Inhibitory neuron	NCAM1_NCAM1	Salt-sensitive	HYP	NCAM1_NCAM1	NCAM	Ncam1	Ncam1					KEGG: mmu04514	Cell-Cell Contact	Ncam1  - Ncam1	0.312498852905992	0.312721132293537	0.287056093288455	0	0.325021134866989	0	0	0	0	0	0	0.278563568195682	SD-HS 3d	-0.025442759617537	SD	HS 3d
Inhibitory neuron	Myelinating OL	NCAM1_NCAM1	Salt-sensitive	HYP	NCAM1_NCAM1	NCAM	Ncam1	Ncam1					KEGG: mmu04514	Cell-Cell Contact	Ncam1  - Ncam1	0.312498852905992	0.312721132293537	0.287056093288455	0	0.325021134866989	0	0	0	0	0	0	0.278563568195682	SD-HS 3d	-0.025442759617537	SD	HS 3d
OPC	Astrocyte	NRXN2_NLGN1	Salt-sensitive	HYP	NRXN2_NLGN1	NRXN	Nrxn2	Nlgn1					KEGG: mmu04514	Cell-Cell Contact	Nrxn2  - Nlgn1	0.212743237327889	0.211614525130846	0.187295836882327	0	0.207588208495682	0	0	0	0	0	0	0.182600841000718	SD-HS 3d	-0.025447400445562	SD	HS 3d
Inhibitory neuron	Excitatory neuron	NCAM1_NCAM1	Salt-sensitive	HYP	NCAM1_NCAM1	NCAM	Ncam1	Ncam1					KEGG: mmu04514	Cell-Cell Contact	Ncam1  - Ncam1	0.259129137080188	0.258893505472496	0.233666265435424	0	0.266417617678445	0	0	0	0	0	0	0.225711995015239	SD-HS 3d	-0.025462871644764	SD	HS 3d
Excitatory neuron	Inhibitory neuron	NCAM1_NCAM1	Salt-sensitive	HYP	NCAM1_NCAM1	NCAM	Ncam1	Ncam1					KEGG: mmu04514	Cell-Cell Contact	Ncam1  - Ncam1	0.259129137080188	0.258893505472496	0.233666265435424	0	0.266417617678445	0	0	0	0	0	0	0.225711995015239	SD-HS 3d	-0.025462871644764	SD	HS 3d
EC4	EC4	JAM2_JAM2	Salt-sensitive	LK	JAM2_JAM2	JAM	Jam2	Jam2					KEGG: mmu04514	Cell-Cell Contact	Jam2  - Jam2	0	0.0254878514671635	0.0303116276437193	0	0.0553294250854355	0	0	0	0	0	0	0	SS-HS 3d	-0.0254878514671635	SS	HS 3d
Ependymal cell	E/P transition cell	NCAM1_NCAM1	AngII	HYP	NCAM1_NCAM1	NCAM	Ncam1	Ncam1					KEGG: mmu04514	Cell-Cell Contact	Ncam1  - Ncam1	0	0	0	0.0254977593630924	0	0	0	0	0	0	0	0	C57BL/6-AngII 3d	-0.0254977593630924	C57BL/6	AngII 3d
E/P transition cell	Ependymal cell	NCAM1_NCAM1	AngII	HYP	NCAM1_NCAM1	NCAM	Ncam1	Ncam1					KEGG: mmu04514	Cell-Cell Contact	Ncam1  - Ncam1	0	0	0	0.0254977593630924	0	0	0	0	0	0	0	0	C57BL/6-AngII 3d	-0.0254977593630924	C57BL/6	AngII 3d
Ependymal cell	E/P transition cell	NCAM1_NCAM1	AngII	HYP	NCAM1_NCAM1	NCAM	Ncam1	Ncam1					KEGG: mmu04514	Cell-Cell Contact	Ncam1  - Ncam1	0	0	0	0.0254977593630924	0	0	0	0	0	0	0	0	C57BL/6-AngII 28d	-0.0254977593630924	C57BL/6	AngII 28d
