trait	strain	treatment	tissue	cell_type	X.SNP.genes	X.DEG	expr.genes	X.SNP.DEG	X.SNP.not.DEG	X.DEG.not.SNP	X.neither	p.value	gene_list	NES	p.adj	cell_group	consensus_cluster	cluster_use
pulse_pressure	C57BL/6	AngII 28d	LV	CM	2272	785	7903	112	2160	673	18444	0.000703305305663854	Gck, Ebf1, Trappc9, Fign, Tango2, Fbn1, Dot1l, Rin3, Nebl, Mypn, Tspan14, Adk, Jcad, Zfp438, Acad10, Fam174b, Mgrn1, Setbp1, Armh3, Tcf7l2, Erg, Mast2, Tmem106b, Prkag1, Paqr9, Rbm25, Tshz3, Fam117b, Nfyc, Arhgap26, Cmss1, Adamts7, Clec18a, Fbrsl1, Mecom, Lnx1, Thsd4, Mef2d, Meis1, Bmp6, Tgfbr3, Nav1, Casz1, Cd34, Arhgap27, Msi2, Nppa, Gigyf1, Col4a1, Ltbp4, Bckdha, Wipf1, Gata4, Zfpm2, Tkt, Tnnc1, Podxl, Mpped2, Etl4, Slc22a5, Tbx5, Trip10, Tshz1, Cav1, Pdpr, Trps1, Dpf3, Scarf1, Phtf2, Prdm16, Wasf2, Plxna2, Ankrd11, Fbxl7, Ppp1r3b, Myo1e, Fgd5, Angpt1, Gpc6, Sh3tc2, Acox1, Sgk1, Scn5a, Col8a1, Cabcoco1, Tcf4, Zbtb46, Plcb4, Fhod3, Mitf, Adamts9, Pecam1, Tesk2, Agmo, Itga1, Skap2, Ebf2, Strbp, Abcc9, Stard7, Slc7a1, Uqcr10, Tomm40, Ahdc1, Nipsnap2, Phkg1, Trpm3, Sgca, Tie1, Vwa8, Mcf2l, Pdgfd	7.84205347033672	0.0122119375801633	C57BL/6_AngII 28d_LV_CM	2	2
pulse_pressure	C57BL/6	AngII 28d	LV	Immune cell	2272	156	8812	19	2253	137	19099	0.2902719662062	Ebf1, Cdh13, Prkce, Ptprj, Trim8, Calhm2, Rbm25, Cmss1, Asb2, Deptor, Fkbp5, Rffl, Apoe, Myom1, Fbxo32, Tln2, Agmo, Itga1, Plxdc2	1.37681763683434	0.717220375542444	C57BL/6_AngII 28d_LV_Immune cell	2	2
pulse_pressure	C57BL/6	AngII 28d	LV	Fibroblast	2272	136	8688	23	2249	113	18933	0.0170828743115971	Cdh13, Gsn, Ppl, Lrp1, Celf2, Cmss1, Enpp2, Meis1, Nav1, Podxl, Sgcd, Etl4, Arhgap42, Bcl6, Apoe, Dysf, Slit3, Dpt, Col8a1, Adamts9, Ebf2, Plxdc2, Pdgfd	4.87447668975033	0.125373246215835	C57BL/6_AngII 28d_LV_Fibroblast	2	2
pulse_pressure	C57BL/6	AngII 28d	LV	EC	2272	312	7348	46	2226	266	18732	0.015127677505756	Nfib, Cdh13, Fgfr2, Eln, Col15a1, Adk, Aldh2, Prkag1, Akap7, Scai, Cmss1, Hip1, Mef2d, Bmp6, Tgfbr3, Casz1, Cd34, Bcl2, Gigyf1, Syne1, Tnnc1, Sgms1, Rapgef3, Arl15, Creb5, Etl4, Pparg, Pfkm, Tns1, Cdk6, Zbtb7a, Plxna2, Idh2, Zfpm1, Inka2, Fbxo32, Cox8a, Tln2, Tcf4, Zbtb46, Adamts9, Slc6a6, Smad7, Dusp16, Uqcr10, Trpm3	4.50747911888103	0.11455717018676	C57BL/6_AngII 28d_LV_EC	6	9
pulse_pressure	C57BL/6	AngII 28d	LV	Pericyte	2272	17	8646	2	2270	15	19100	0.552466866400992	Cmss1, Plxna2	0.808685445420293	1	C57BL/6_AngII 28d_LV_Pericyte	2	2
pulse_pressure	C57BL/6	AngII 28d	LV	VSMC	2272	10	8273	1	2271	9	19006	0.676623121621035	Cmss1	0.598936105661967	1	C57BL/6_AngII 28d_LV_VSMC	2	2
pulse_pressure	C57BL/6	AngII 28d	LV	Neuronal	2272	7	8599	1	2271	6	19168	0.543422455721775	Cmss1	0.904001687457317	1	C57BL/6_AngII 28d_LV_Neuronal	2	2
pulse_pressure	SHR	26w	HYP	Excitatory neuron	2272	1199	11840	129	2143	1070	17900	0.485662162916778	Gck, AABR07044388.2, Gnl3, Cdk14, Lsm7, RGD1304728, Atp2b1, Ulk4, Sirt1, Prdm11, Col15a1, Ror2, Btbd16, Hydin, Rbm25, Rims3, Kansl1, Map9, Ina, Ivd, Smad3, Tsr3, Tmem185b, Mcm3ap, Lnx1, Gpatch4, Naxe, Sema4a, Nrg1, Phactr1, Rnf144b, Coil, Clcn6, Mthfr, Cdh11, Agbl5, Ppm1g, Nr2f2, Lrrc34, Entr1, Gigyf1, Drc1, Snx32, Scaf11, Egln2, Cc2d2a, Pbx3, Itih3, Rreb1, Fat3, Septin9, Cadm2, Gpc5, Otof, Ap3d1, Zfp318, Ctnna2, H6pd, Kif3a, Prmt9, Supt6h, Cchcr1, Pfkm, Washc2c, Man2a2, Idh3g, Dynlt5, Pcm1, Cntln, Foxo3, Os9, Atp23, Ap1s1, Acp2, Asb8, RGD1359634, Micall1, Usp36, Tnip2, Bicc1, Zbtb7a, Map2k2, Dgki, Nol8, Tmem87b, Plxnb2, Yy1, Kmt5a, Dusp26, Acap3, Myo1e, AABR07002969.1, Nkd1, Dele1, Hapln4, Gmip, Ppargc1a, Ing1, Zfp638, Nfatc2, Lynx1, Nelfe, Plekha7, Kcp, Dysf, Slit3, Acadvl, Tbc1d23, Rnf215, Mtss2, Kdm6b, Cog2, Psmc3, Cers5, Ankrd13a, Rerg, Ascc2, Zfp831, Stx1b, Ldb1, Abcc8, Ctsf, Chd3, Slc35b1, Ankdd1a, Crim1, Htatsf1, Pibf1, Casp8ap2	0.780655162407206	0.956471079144517	SHR_26w_HYP_Excitatory neuron	3	6
pulse_pressure	SHR	26w	HYP	Inhibitory neuron	2272	1592	11286	175	2097	1417	17385	0.401446518835897	As3mt, Gck, Wdr7, Atf6b, AABR07044388.2, Gnl3, Prkag2, Cdk14, Chrm2, Arvcf, Lsm7, Fkbp7, RGD1304728, Tbx3, Celf1, Fgfr2, Sirt1, Prdm11, C1qtnf4, Klhl42, Ikbip, Atp1b1, Fam174b, Mfsd13a, Tacc2, Urod, Celf2, Rbm25, Rims3, Plxnc1, Zscan26, Kansl1, Syt1, Ina, Ivd, Aktip, Pom121, Grm4, Msto1, Gpatch4, Slc25a44, Isg20l2, Rit1, Sema4a, Meis1, Tgfbr3, Hivep3, Fermt2, Kcnq5, Rnf144b, Coil, Msi2, Mthfr, Preb, Tmem214, Sugct, Lrrc34, Qsox2, Drc1, Snx32, Scaf11, Acbd4, Cc2d2a, Pbx3, Nisch, Itih3, Rreb1, Cd151, AABR07032097.1, Septin9, G6pc3, Cadm2, Cdyl2, Zfp385b, Gpc5, Ap3d1, Zfp318, Filip1l, H6pd, Fads1, Etl4, Kif3a, Prmt9, Fbn2, Cchcr1, Syn2, Washc2c, Cbx1, Sra1, Wdr12, Slc39a12, Tshz1, Ddhd2, Stk25, Pcbp3, Idh3g, Plekhm2, Mtmr9, Atp23, Tspan31, Ap1s1, Abi2, Asb8, RGD1359634, Micall1, Ppil2, Usp36, Tnip2, Ccdc77, Map2k2, Dgki, Nol8, Tmem87b, Plxnb2, Mmp23, Sf3a3, Coro7, Dusp26, Lig3, Prpf40a, Myo1e, AABR07002969.1, Col11a1, Dele1, Dffa, Pbx4, Itgb1bp1, Ppargc1a, Ing1, Fbf1, Brpf3, Zfp638, Odf2l, Slc35e3, Nelfe, Plekha7, Dlgap1, Sbno1, Cacna1c, Acox1, Elp5, Acadvl, Vps25, Letm2, Mapk1, Rnf215, Tcf4, Snap25, Myh7b, Fhod3, Mtss2, Zfhx3, Tars1, Slc45a4, Agbl2, Psmc3, Nomo1, Zfp385a, Cers5, Ankrd13a, Tbl1xr1, Ldb1, Sumf2, Cct6a, Ctsf, Tp53, Odf2, Trpm3, Jakmip3, Pld3, Slc38a7, Rph3a, Htatsf1, Casp8ap2, Dnajc11	0.93348551228144	0.859057390923003	SHR_26w_HYP_Inhibitory neuron	3	6
pulse_pressure	SHR	26w	HYP	Myelinating OL	2272	641	5916	86	2186	555	17308	0.0498762540970863	Trappc9, Jazf1, Dnmt1, Insr, Xpr1, Slc43a2, Srr, Plekha1, Nadk, Celf1, Svep1, Atad1, Arhgap12, Ptprj, Setbp1, Pinx1, Usp34, Cnnm2, Mast2, Celf2, Kansl1, Rad52, Dennd1b, Nrbp1, Hdgf, Col9a2, Stat5b, Sorbs1, Msi2, Itgb5, Snx32, Ywhae, Zfpm2, Nisch, Cdh2, Sarnp, Cadm2, Ctnna2, B3glct, Bcat1, Supt6h, Cdh8, Zfp78, Ddx5, Stk25, Pdpr, Pcbp3, Lcorl, Gnb1l, Cadm1, Sgip1, Col27a1, Casp9, Irs1, Pfdn1, Osbpl7, Xkr6, Gmds, Spred2, Vmp1, Dgki, Trnau1ap, Sf3a3, Dusp26, Zdhhc21, Sugp1, Fbf1, Garre1, Lpin2, Adcy9, Akr1a1, Khdrbs3, Ank2, RragB, Sos2, Adamtsl3, Grip2, Psmc3, Snrnp70, Kat8, Cct6a, Trpm3, Prpf40b, Lekr1, Vwa8, Spire1	3.2179370239545	0.24133426516159	SHR_26w_HYP_Myelinating OL	3	3
